Metric,Mean,CI Lower (95%),CI Upper (95%),Offset
Annual Profit,"639,965","639,788","640,142",-20
Stockout Rate,0.67,0.67,0.67,-20
Leftover per Day,5.1,5,5.1,-20
Fill Rate,0.9,0.9,0.9,-20
Annual Profit,"661,464","661,233","661,695",-10
Stockout Rate,0.48,0.48,0.49,-10
Leftover per Day,9.2,9.2,9.2,-10
Fill Rate,0.94,0.94,0.94,-10
Annual Profit,"668,946","668,668","669,225",0
Stockout Rate,0.3,0.3,0.3,0
Leftover per Day,15.2,15.1,15.2,0
Fill Rate,0.97,0.97,0.97,0
Annual Profit,"663,584","663,267","663,900",10
Stockout Rate,0.16,0.16,0.16,10
Leftover per Day,22.9,22.9,22.9,10
Fill Rate,0.99,0.99,0.99,10
Annual Profit,"650,361","650,004","650,717",20
Stockout Rate,0.07,0.07,0.07,20
Leftover per Day,31.7,31.6,31.7,20
Fill Rate,0.99,0.99,0.99,20
